case-sensitive code,name (display),category,synonyms,LOINC property,Guidance,source
ng/mg/h,nanogram per milligram per hour,Clinical,ng/mg/hr; ng per mg per hr; nanograms per milligrams per hour,MRtoRat ,,LOINC
ng/min,nanogram per minute,Clinical,ng per min; nanograms,MRat,,LOINC
ng/mL,nanogram per millliiter,Clinical,ng per mL; nanograms; millilitre,MCnc,,LOINC
ng/mL/h,nanogram per milliliter per hour,Clinical,ng/mL/hr; ng per mL per mL; nanograms per milliliter per hour; nanogram per millilitre per hour; nanograms per millilitre per hour; enzymatic activity per volume; enzyme activity per milliliters,CCnc,tests that measure enzymatic activity,LOINC
ng/s,nanogram per second,Clinical,ng/sec; ng per sec; nanograms per second,MRat,,LOINC
ng/U,nanogram per enzyme unit,Clinical,ng per U; nanograms per enzyme unit,CMass,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
nkat,nanokatal,Clinical,nanokatals,CAct,kat is a unit of catalytic activity with base units = mol/s. Rarely used because its units are too large to practically express catalytic activity. See enzyme unit [U] which is the standard unit for catalytic activity.,LOINC
nL,nanoliter,Clinical,nanoliters; nanolitres,Vol,,LOINC
nm,nanometer,Clinical,nanometers; nanometres,Len,,LOINC
nm/s/L,nanometer per second per liter,Clinical,nm/sec/liter; nm/sec/litre; nm per s per l; nm per sec per l; nanometers per second per liter; nanometre per second per litre; nanometres per second per litre,VelCnc,,LOINC
nmol,nanomole,Clinical,nanomoles,Sub,,LOINC
nmol/(24.h),nanomole per 24 hour,Clinical,nmol/24hr; nmol/24 hr; nanomoles per 24 hours; nmol/day; nanomoles per day; nmol per day; nanomole/day; nanomol/day,SRat,,LOINC
nmol/d,nanomole per day,Clinical,nmol/day; nanomoles per day; nmol per day; nanomole/day; nanomol/day; nmol/24hr; nmol/24 hr; nanomoles per 24 hours; ,SRat,,LOINC
nmol/dL,nanomole per deciliter,Clinical,nmol per dL; nanomoles per deciliter; nanomole per decilitre; nanomoles per decilitre; nanomole/deciliter; nanomole/decilitre; nanomol/deciliter; nanomol/decilitre,SCnc,,LOINC
nmol/g,nanomole per gram,Clinical,nmol per gram; nanomoles per gram; nanomole/gram,SCnt,,LOINC
nmol/h/L,nanomole per hour per liter,Clinical,nmol/hrs/L; nmol per hrs per L; nanomoles per hours per liter; litre; enzymatic activity per volume; enzyme activities,CCnc,,LOINC
nmol/L,nanomole per liter,Clinical,nmol per L; nanomoles per liter; litre,SCnc,,LOINC
nmol/mg,nanomole per milligram,Clinical,nmol per mg; nanomoles per milligram,SCnt,,LOINC
nmol/mg/h,nanomole per milligram per hour,Clinical,nmol/mg/hr; nmol per mg per hr; nanomoles per milligrams per hour,SCntRat,,LOINC
nmol/mg{prot},nanomole per milligram of protein,Clinical,nanomoles; nmol/mg prot; nmol per mg prot,Ratio; CCnt,,LOINC
nmol/min,nanomole per minute,Clinical,nmol per min; nanomoles per minute; milli enzyme units; enzyme activity per volume; enzymatic activity,CCnc,unit for the enzyme unit U = umol/min. nmol/min = mU (milli enzyme unit),LOINC
nmol/min/mL,nanomole per minute per milliliter,Clinical,nmol per min per mL; nanomoles per minutes per milliliter; millilitre; milli enzyme units per volume; enzyme activity; enzymatic activity,CCnc,unit for the enzyme unit U = umol/min. nmol/mL/min = mU/mL,LOINC
nmol/mL,nanomole per milliliter,Clinical,nmol per mL; nanomoles per milliliter; millilitre,SCnc,,LOINC
nmol/mL/h,nanomole per milliliter per hour,Clinical,nmol/mL/hr; nmol per mL per hr; nanomoles per milliliters per hour; millilitres; milli enzyme units per volume; enzyme activity; enzymatic activity,CCnc,unit for the enzyme unit U = umol/min.,LOINC
nmol/mL/min,nanomole per milliliter per minute,Clinical,nmol per mL per min; nanomoles per milliliters per min; millilitres; milli enzyme units per volume; enzyme activity; enzymatic activity,CCnc,unit for the enzyme unit U = umol/min. nmol/mL/min = mU/mL,LOINC
nmol/mmol,nanomole per millimole,Clinical,nmol per mmol; nanomoles per millimole,SRto,,LOINC
nmol/mmol{creat},nanomole per millimole of creatinine,Clinical,nanomoles,SRto,,LOINC
nmol/mol,nanomole per mole,Clinical,nmol per mole; nanomoles,SRto,,LOINC
nmol/nmol,nanomole per nanomole,Clinical,nmol per nmol; nanomoles,SRto,,LOINC
nmol/s,nanomole per second,Clinical,nmol/sec; nmol per sec; nanomoles per sercond; milli enzyme units; enzyme activity; enzymatic activity,CCnc,unit for the enzyme unit U = umol/min.,LOINC
nmol/s/L,nanomole per second per liter,Clinical,nmol/sec/L; nmol per s per L; nmol per sec per L; nanomoles per seconds per liter; litre; milli enzyme units per volume; enzyme activity; enzymatic activity,CCnc,unit for the enzyme unit U = umol/min.,LOINC
Np,neper,Clinical,nepers,LogRto,"logarithmic unit for ratios of measurements of physical field and power quantities, such as gain and loss of electronic signals",UCUM
ns,nanosecond,Clinical,nanoseconds,Time,,LOINC
nU/mL,nanoenzyme unit per milliliter,Clinical,nU per mL; nanoenzyme units per milliliter; millilitre; enzymatic activity per volume; enzyme activity,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 fU = pmol/min,LOINC
Oe,Oersted,Clinical,H magnetic B field; Oersteds,,CGS unit of the auxiliary magnetic field H defined as 1 dyne per unit pole = 1000/4π amperes per meter (see Gauss for CGS unit for B field),UCUM
Ohm,ohm,Clinical,Ω; resistance; ohms,,unit of electrical resistance with units of Volt per Ampere,UCUM
Ohm.m,Ohm meter,Clinical,electric resistivity; meters; metres,,unit of electric resistivity,LOINC
osm,osmole,Clinical,osmoles; osmols,Osmol,the number of moles of solute that contribute to the osmotic pressure of a solution,UCUM
osm/kg,osmole per kilogram,Clinical,osm per kg; osmoles per kilogram; osmols,Osmol,,LOINC
osm/L,osmole per liter,Clinical,osm per L; osmoles per liter; litre; osmols,Osmol,,LOINC
P,Poise,Clinical,dynamic viscosity; poises,Visc,unit of dynamic viscosity where 1 Poise = 1/10 Pascal second,UCUM
Pa,pascal,Clinical,pascals,Pres,standard unit of pressure equal to 1 newton per square meter (N/m2),UCUM
pA,picoampere,Clinical,picoamperes,,equal to 10^-12 amperes,LOINC
pc,parsec,Clinical,parsecs,Len,"unit of length equal to 3.26 light years, and used to measure large distances to objects outside our Solar System",UCUM
pg,picogram,Clinical,picograms,Mass; EntMass,,LOINC
pg/dL,picogram per deciliter,Clinical,pg per dL; picograms; decilitre,MCnc,,LOINC
pg/L,picogram per liter,Clinical,pg per L; picograms; litre,MCnc,,LOINC
pg/mg,picogram per milligram,Clinical,pg per mg; picograms,MCnt,,LOINC
pg/mL,picogram per milliliter,Clinical,pg per mL; picograms per milliliter; millilitre,MCnc,,LOINC
pg/mm,picogram per millimeter,Clinical,pg per mm; picogram/millimeter; picogram/millimetre; picograms per millimeter; millimetre,Lineic Mass,,LOINC
ph,phot,Clinical,phots,,"CGS photometric unit of illuminance, or luminous flux through an area equal to 10000 lumens per square meter = 10000 lux",UCUM
pkat,picokatal,Clinical,pkats; picokatals,CAct,kat is a unit of catalytic activity with base units = mol/s. Rarely used because its units are too large to practically express catalytic activity. See enzyme unit [U] which is the standard unit for catalytic activity.,LOINC
pL,picoliter,Clinical,picoliters; picolitres,Vol,,LOINC
pm,picometer,Clinical,picometers; picometres,Len,,LOINC
pmol,picomole,Clinical,picomoles; pmols,Sub,,LOINC
pmol/(24.h),picomole per 24 hour,Clinical,pmol/24hrs; pmol/24 hrs; pmol per 24 hrs; 24hrs; days; dy; picomoles per 24 hours,SRat,,LOINC
pmol/d,picomole per day,Clinical,pmol/dy; pmol per day; 24 hours; 24hrs; 24 hrs; picomoles,SRat,,LOINC
pmol/dL,picomole per deciliter,Clinical,pmol per dL; picomoles per deciliter; decilitre,SCnc,,LOINC
pmol/g,picomole per gram,Clinical,pmol per gm; picomoles per gram; picomole/gram,SCnt,,LOINC
pmol/h/mL,picomole per hour per milliliter ,Clinical,pmol/hrs/mL; pmol per hrs per mL; picomoles per hour per milliliter; millilitre; micro enzyme units per volume; enzymatic activity; enzyme activity,CCnc,unit for the enzyme unit U = umol/min. ,LOINC
pmol/L,picomole per liter,Clinical,picomole/liter; pmol per L; picomoles; litre,SCnc,,LOINC
pmol/min,picomole per minute,Clinical,picomole/minute; pmol per min; picomoles per minute; micro enzyme units; enzymatic activity; enzyme activity,CCnc,unit for the enzyme unit U = umol/min. pmol/min = uU (micro enzyme unit),LOINC
pmol/mL,picomole per milliliter,Clinical,picomole/milliliter; picomole/millilitre; pmol per mL; picomoles; millilitre; picomols; pmols,SCnc,,LOINC
pmol/umol,picomole per micromole,Clinical,pmol/mcgmol; picomole/micromole; pmol per umol; pmol per mcgmol; picomoles ,SRto,,LOINC
ps,picosecond,Clinical,picoseconds; psec,Time,,LOINC
pT,picotesla,Clinical,picoteslas,,SI unit of magnetic field strength for magnetic field B,LOINC
R,Roentgen,Clinical,röntgen; Roentgens,,unit of exposure of X-rays and gamma rays in air; unit used primarily in the US but strongly discouraged by NIST,UCUM
RAD,radiation absorbed dose,Clinical,doses,,unit of radiation absorbed dose used primarily in the US with base units 100 ergs per gram of material. Also see the SI unit Gray (Gy).,UCUM
rad,radian,Clinical,radians,Angle,unit of angular measure where 1 radian = 1/2π turn =  57.296 degrees. ,UCUM
REM,radiation equivalent man,Clinical,Roentgen Equivalent in Man; rems;  dose equivalents,,unit of equivalent dose which measures the effect of radiation on humans equal to 0.01 sievert. Used primarily in the US. Also see SI unit Sievert (Sv),UCUM
S,siemens,Clinical,Reciprocal ohm; mho; Ω−1; conductance,,unit of electric conductance (the inverse of electrical resistance) equal to ohm^-1,UCUM
s,second - time,Clinical,seconds,Time,,UCUM
sb,stilb,Obsolete,stilbs,,unit of luminance; equal to and replaced by unit candela per square centimeter (cd/cm2),UCUM
sph,spere - solid angle,Clinical,speres,Angle,equal to the solid angle of an entire sphere = 4πsr (sr = steradian) ,UCUM
sr,steradian - solid angle,Clinical,square radian; rad2; rad^2,Angle,unit of solid angle in three-dimensional geometry analagous to radian; used in photometry which measures the perceived brightness of object by human eye (e.g. radiant intensity = watt/steradian),UCUM
St,Stokes,Clinical,kinematic viscosity,Visc,unit of kimematic viscosity with units cm2/s,UCUM
st,stere,Nonclinical,stère; m3; cubic meter; m^3; meters cubed; metre,Vol,"equal to one cubic meter, usually used for measuring firewood",UCUM
Sv,sievert,Clinical,sieverts; radiation dose quantities; equivalent doses; effective dose; operational dose; committed dose,,SI unit for radiation dose equivalent equal to 1 Joule/kilogram.,UCUM
T,tesla,Clinical,Teslas; magnetic field,,SI unit of magnetic field strength for magnetic field B equal to 1 Weber/square meter =  1 kg/(s2*A),UCUM
t,metric ton,Nonclinical,tonnes; megagrams; tons,Mass,"equal to 1000 kg used in the US (recognized by NIST as metric ton), and internationally (recognized as tonne)",UCUM
tex,tex,Clinical,linear mass density; texes,,unit of linear mass density for fibers equal to gram per 1000 meters,UCUM
Torr,Torr,Clinical,torrs,Pres,1 torr = 1 mmHg; unit used to measure blood pressure,UCUM
u,unified atomic mass unit,Clinical,unified atomic mass units;  amu; Dalton; Da,Mass,the mass of 1/12 of an unbound Carbon-12 atom nuclide equal to 1.6606x10^-27 kg ,UCUM
U,enzyme unit,Clinical,micromoles per minute; umol/min; umol per minute; umol min-1; enzymatic activity; enzyme activity,CAct,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),UCUM
U/(12.h),enzyme unit per 12 hour,Clinical,U/12hrs; U/ 12hrs; U per 12 hrs; 12hrs; enzyme units per 12 hours; enzyme activity; enzymatic activity per time; umol per min per 12 hours; micromoles per minute per 12 hours; umol/min/12hr,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/(2.h),enzyme unit per 2 hour,Clinical,U/2hrs; U/ 2hrs; U per 2 hrs; 2hrs; enzyme units per 2 hours; enzyme activity; enzymatic activity per time; umol per minute per 2 hours; micromoles per minute; umol/min/2hr; umol per min per 2hr,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/(24.h),enzyme unit per 24 hour,Clinical,U/24hrs; U/ 24hrs; U per 24 hrs; 24hrs; enzyme units per 24 hours; enzyme activity; enzymatic activity per time; micromoles per minute per 24 hours; umol/min/24hr; umol per min per 24hr,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/10,enzyme unit per 10,Clinical,enzyme unit/10; U per 10; enzyme units per 10; enzymatic activity; enzyme activity; micromoles per minute; umol/min/10,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/10*10,enzyme unit per 10 billion,Clinical,U per 10*10; enzyme units per 10*10; U per 10 billion; enzyme units; enzymatic activity; micromoles per minute per 10 billion; umol/min/10*10,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/10*12,enzyme unit per trillion,Clinical,enzyme unit/10*12; U per 10*12; enzyme units per 10*12; enzyme units per trillion; enzymatic activity; micromoles per minute per trillion; umol/min/10*12; umol per min per 10*12,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/10*6,enzyme unit per million,Clinical,enzyme unit/10*6; U per 10*6; enzyme units per 10*6; enzyme units; enzymatic activity per volume; micromoles per minute per million; umol/min/10*6; umol per min per 10*6,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/10*9,enzyme unit per billion,Clinical,enzyme unit/10*9; U per 10*9; enzyme units per 10*9; enzymatic activity per volume; micromoles per minute per billion; umol/min/10*9; umol per min per 10*9,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/d,enzyme unit per day,Clinical,U/dy; enzyme units per day; enzyme units; enzyme activity; enzymatic activity per time; micromoles per minute per day; umol/min/day; umol per min per day,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/dL,enzyme unit per deciliter,Clinical,U per dL; enzyme units per deciliter; decilitre; micromoles per minute per deciliter; umol/min/dL; umol per min per dL,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/g,enzyme unit per gram,Clinical,U/gm; U per gm; enzyme units per gram; micromoles per minute per gram; umol/min/g; umol per min per g,CCnt,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/h,enzyme unit per hour,Clinical,U/hr; U per hr; enzyme units per hour; micromoles per minute per hour; umol/min/hr; umol per min per hr,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/L,enzyme unit per liter,Clinical,enzyme unit/liter; enzyme unit/litre; U per L; enzyme units per liter; enzyme unit per litre; micromoles per minute per liter; umol/min/L; umol per min per L,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/min,enzyme unit per minute,Clinical,enzyme unit/minute; U per min; enzyme units; umol/min/min; micromoles per minute per minute; micromoles per min per min; umol,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/mL,enzyme unit per milliliter,Clinical,U per mL; enzyme units per milliliter; millilitre; micromoles per minute per milliliter; umol/min/mL; umol per min per mL,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
U/s,enzyme unit per second,Clinical,U/sec; U per second; enzyme units per second; micromoles per minute per second; umol/min/sec; umol per min per sec,CRat,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min),LOINC
u[IU],micro international unit,Clinical,uIU; u IU; microinternational units,Arb,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
u[IU]/L,micro international unit per liter,Clinical,uIU/L; u IU/L; uIU per L; microinternational units per liter; litre; ,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
u[IU]/mL,micro international unit per milliliter,Clinical,uIU/mL; u IU/mL; uIU per mL; microinternational units per milliliter; millilitre,ACnc,International units (IU) are analyte and reference specimen  specific arbitrary units (held at WHO),LOINC
ueq,microequivalent,Clinical,microequivalents; 10^-6 equivalents; 10-6 equivalents,Sub,,LOINC
ueq/L,microequivalent per liter,Clinical,ueq per liter; litre; microequivalents,MCnc,,LOINC
ueq/mL,microequivalent per milliliter,Clinical,ueq per milliliter; millilitre; microequivalents,MCnc,,LOINC
ug,microgram,Clinical,mcg; micrograms; 10^-6 grams; 10-6 grams,Mass,,LOINC
ug/(100.g),microgram per 100 gram,Clinical,ug/100gm; ug/100 gm; mcg; ug per 100g; 100 gm; mcg per 100g; micrograms per 100 grams,MCnt,,LOINC
ug/(24.h),microgram per 24 hour,Clinical,ug/24hrs; ug/24 hrs; mcg/24hrs; ug per 24hrs; mcg per 24hrs; 24 hrs; micrograms per 24 hours,MRat,,LOINC
ug/(8.h),microgram per 8 hour,Clinical,ug/8hrs; ug/8 hrs; mcg/8hrs; ug per 8hrs; mcg per 8hrs; 8 hrs; micrograms per 8 hours; shift,MRat,,LOINC
ug/[sft_i],microgram per square foot (international),Clinical,ug/sft; ug/ft2; ug/ft^2; ug/sq. ft; micrograms; sq. foot; foot squared,ArMass,,LOINC
ug/d,microgram per day,Clinical,ug/dy; mcg/dy; ug per day; mcg; micrograms per day,MRat,,LOINC
ug/dL,microgram per deciliter,Clinical,ug per dL; mcg/dl; mcg per dl; micrograms per deciliter; decilitre,MCnc,,LOINC
ug/g,microgram per gram,Clinical,ug per gm; mcg/gm; mcg per g; micrograms per gram,MCnt,,LOINC
ug/h,microgram per hour,Clinical,ug/hr; mcg/hr; mcg per hr; ug per hr; ug per hour; micrograms,MRat,,LOINC
ug/kg,microgram per kilogram,Clinical,ug per kg; mcg/kg; mcg per kg; micrograms per kilogram,MCnt,,LOINC
ug/kg/(8.h),microgram per kilogram per 8 hour,Clinical,ug/kg/8hrs; mcg/kg/8hrs; ug/kg/8 hrs; mcg/kg/8 hrs; ug per kg per 8hrs; 8 hrs; mcg per kg per 8hrs; micrograms per kilograms per 8 hours; shift,,unit used to measure mass dose rate per patient body mass,LOINC
ug/kg/d,microgram per kilogram per day,Clinical,ug/(kg.d); ug/kg/dy; mcg/kg/day; ug per kg per dy; 24 hours; 24hrs; mcg; kilograms; microgram per kilogram and day,,unit used to measure mass dose rate per patient body mass,LOINC
ug/kg/h,microgram per kilogram per hour,Clinical,ug/(kg.h); ug/kg/hr; mcg/kg/hr; ug per kg per hr; mcg per kg per hr; kilograms,,unit used to measure mass dose rate per patient body mass,LOINC
ug/kg/min,microgram per kilogram per minute,Clinical,ug/kg/min; ug/kg/min; mcg/kg/min; ug per kg per min; mcg; micrograms per kilograms per minute ,,unit used to measure mass dose rate per patient body mass,LOINC
ug/L,microgram per liter,Clinical,mcg/L; ug per L; mcg; micrograms per liter; litre ,MCnc,,LOINC
ug/L/(24.h),microgram per liter per 24 hour,Clinical,ug/L/24hrs; ug/L/24 hrs; mcg/L/24hrs; ug per L per 24hrs; 24 hrs; day; dy mcg; micrograms per liters per 24 hours; litres,,unit used to measure mass dose rate per patient body mass,LOINC
ug/m2,microgram per square meter,Clinical,ug/m^2; ug/sq. m; mcg/m2; mcg/m^2; mcg/sq. m; ug per m2; m^2; sq. meter; mcg; micrograms per square meter; meter squared; metre,ArMass,unit used to measure mass dose per patient body surface area,LOINC
ug/m3,microgram per cubic meter,Clinical,ug/m^3; ug/cu. m; mcg/m3; mcg/m^3; mcg/cu. m; ug per m3; ug per m^3; ug per cu. m; mcg; micrograms per cubic meter; meter cubed; metre,MCnc,,LOINC
ug/mg,microgram per milligram,Clinical,ug per mg; mcg/mg; mcg per mg; micromilligrams per milligram,MCnt,,LOINC
ug/min,microgram per minute,Clinical,ug per min; mcg/min; mcg per min; microminutes per minute,MRat,,LOINC
ug/mL,microgram per milliliter,Clinical,ug per mL; mcg/mL; mcg per mL; micrograms per milliliter; millilitre,MCnc,,LOINC
ug/mmol,microgram per millimole,Clinical,ug per mmol; mcg/mmol; mcg per mmol; micrograms per millimole,Ratio,,LOINC
ug/ng,microgram per nanogram,Clinical,ug per ng; mcg/ng; mcg per ng; micrograms per nanogram,MCnt,,LOINC
ukat,microkatal,Clinical,microkatals; ukats,CAct,kat is a unit of catalytic activity with base units = mol/s. Rarely used because its units are too large to practically express catalytic activity. See enzyme unit [U] which is the standard unit for catalytic activity.,LOINC
uL,microliter,Clinical,microliters; microlitres; mcl,Vol,,LOINC
uL/(2.h),microliter per 2 hour,Clinical,uL/2hrs; uL/2 hrs; mcg/2hr; mcg per 2hr; uL per 2hr; uL per 2 hrs; microliters per 2 hours; microlitres ,VRat,,LOINC
uL/h,microliter per hour,Clinical,uL/hr; mcg/hr; mcg per hr; uL per hr; microliters per hour; microlitres,VRat,,LOINC
um,micrometer,Clinical,micrometers; micrometres; μm; microns,Len,Unit of length that is usually used in tests related to the eye,LOINC
um/s,microns per second,Clinical,um/sec; micron/second; microns/second; um per sec; micrometers per second; micrometres,Vel,,LOINC
umol,micromole,Clinical,micromoles; umols,Sub,,LOINC
umol/(2.h),micromole per 2 hour,Clinical,umol/2hrs; umol/2 hrs; umol per 2 hrs; 2hrs; micromoles per 2 hours,SRat,,LOINC
umol/(24.h),micromole per 24 hour,Clinical,umol/24hrs; umol/24 hrs; umol per 24 hrs; per 24hrs; micromoles per 24 hours,SRat,,LOINC
umol/(8.h),micromole per 8 hour,Clinical,umol/8hr; umol/8 hr; umol per 8 hr; umol per 8hr; umols per 8hr; umol per 8 hours; micromoles per 8 hours; shift,SRat,,LOINC
umol/d,micromole per day,Clinical,umol/day; umol per day; umols per day; umol per days; micromoles per days; umol/24hr; umol/24 hr; umol per 24 hr; umol per 24hr; umols per 24hr; umol per 24 hours; micromoles per 24 hours,SRat,,LOINC
umol/dL,micromole per deciliter,Clinical,micromole/deciliter; micromole/decilitre; umol per dL; micromoles per deciliters; micromole per decilitres,SCnc,,LOINC
umol/g,micromole per gram,Clinical,micromole/gram; umol per g; micromoles per gram,SCnt; Ratio,,LOINC
umol/h,micromole per hour,Clinical,umol/hr; umol per hr; umol per hour; micromoles per hours,SRat,,LOINC
umol/kg,micromole per kilogram,Clinical,umol per kg; micromoles per kilogram,SCnt,,LOINC
umol/L,micromole per liter,Clinical,micromole/liter; micromole/litre; umol per liter; micromoles per liter; litre,SCnc,,LOINC
umol/L/h,micromole per liter per hour,Clinical,umol/liter/hr; umol/litre/hr; umol per L per hr; umol per liter per hour; micromoles per liters per hour; litre,CCnc,unit for the enzyme unit U = umol/min; umol/L/h is a derived unit of enzyme units,LOINC
umol/mg,micromole per milligram,Clinical,micromole/milligram; umol per mg; micromoles per milligram,SCnt,,LOINC
umol/min,micromole per minute,Clinical,micromole/minute; umol per min; micromoles per minute; enzyme units,CAct,unit for the enzyme unit U = umol/min,LOINC
umol/min/g,micromole per minute per gram,Clinical,umol/min/gm; umol per min per gm; micromoles per minutes per gram; U/g; enzyme units,CCnt,unit for the enzyme unit U = umol/min. umol/min/g = U/g,LOINC
umol/min/L,micromole per minute per liter,Clinical,umol/min/liter; umol/minute/liter; micromoles per minutes per liter; litre; enzyme units; U/L,CCnc,unit for the enzyme unit U = umol/min. umol/min/L = U/L,LOINC
umol/mL,micromole per milliliter,Clinical,umol per mL; micromoles per milliliter; millilitre,SCnc,,LOINC
umol/mL/min,micromole per milliliter per minute,Clinical,umol per mL per min; micromoles per milliliters per minute; millilitres,CCnc,unit for the enzyme unit U = umol/min. umol/mL/min = U/mL,LOINC
umol/mmol,micromole per millimole,Clinical,umol per mmol; micromoles per millimole,SRto,,LOINC
umol/mol,micromole per mole,Clinical,umol per mol; micromoles per mole,SRto,,LOINC
umol/umol,micromole per micromole,Clinical,umol per umol; micromoles per micromole,Srto; SFr; EntSRto,,LOINC
uOhm,microOhm,Clinical,microOhms; µΩ,,unit of electric resistance,LOINC
us,microsecond,Clinical,microseconds,Time,,LOINC
uU/g,micro enzyme unit per gram,Clinical,uU per gm; micro enzyme units per gram; micro enzymatic activity per mass; enzyme activity,CCnt,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 uU = 1pmol/min,LOINC
uU/L,micro enzyme unit per liter,Clinical,uU per L; micro enzyme units per liter; litre; enzymatic activity per volume; enzyme activity ,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 uU = 1pmol/min,LOINC
uU/mL,micro enzyme unit per milliliter,Clinical,uU per mL; micro enzyme units per milliliter; millilitre; enzymatic activity per volume; enzyme activity,CCnc,1 U is the standard enzyme unit which equals 1 micromole substrate catalyzed per minute (1 umol/min); 1 uU = 1pmol/min,LOINC
uV,microvolt,Clinical,microvolts,Elpot,unit of electric potential (voltage),LOINC
V,volt,Clinical,volts,Elpot,unit of electric potential (voltage) = 1 Joule per Coulomb (J/C),UCUM
W,watt,Clinical,watts,EngRat,unit of power equal to 1 Joule per second (J/s) =  kg⋅m2⋅s−3,UCUM
Wb,weber,Clinical,magnetic flux; webers,,unit of magnetic flux equal to Volt second,UCUM
wk,week,Clinical,weeks; wks,Time,,UCUM
